,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,dog_stage
0,892420643555336193,,,2017-08-01 16:23:56+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,Unknown
1,892177421306343426,,,2017-08-01 00:17:27+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,Unknown
2,891815181378084864,,,2017-07-31 00:18:03+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,Unknown
3,891689557279858688,,,2017-07-30 15:58:51+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,Unknown
4,891327558926688256,,,2017-07-29 16:00:24+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,Unknown
5,891087950875897856,,,2017-07-29 00:08:17+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,Unknown
6,890971913173991426,,,2017-07-28 16:27:12+00:00,Twitter for iPhone,,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,Unknown
7,890729181411237888,,,2017-07-28 00:22:40+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,Unknown
8,890609185150312448,,,2017-07-27 16:25:51+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,Unknown
9,890240255349198849,,,2017-07-26 15:59:51+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,Doggo
10,890006608113172480,,,2017-07-26 00:31:25+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,Unknown
11,889880896479866881,,,2017-07-25 16:11:53+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,Unknown
12,889665388333682689,,,2017-07-25 01:55:32+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,,Puppo
13,889638837579907072,,,2017-07-25 00:10:02+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,Unknown
14,889531135344209921,,,2017-07-24 17:02:04+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,Puppo
15,889278841981685760,,,2017-07-24 00:19:32+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,Unknown
16,888917238123831296,,,2017-07-23 00:22:39+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,Unknown
17,888804989199671297,,,2017-07-22 16:56:37+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,Unknown
18,888554962724278272,,,2017-07-22 00:23:06+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,Unknown
19,888202515573088257,,,2017-07-21 01:02:36+00:00,Twitter for iPhone,8.874739571039519e+17,4196983835.0,2017-07-19 00:47:34 +0000,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13,10,Canela,Unknown
20,888078434458587136,,,2017-07-20 16:49:33+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,Gerald,Unknown
21,887705289381826560,,,2017-07-19 16:06:48+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,Unknown
22,887517139158093824,,,2017-07-19 03:39:09+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/887517139158093824/video/1,14,10,such,Unknown
23,887473957103951883,,,2017-07-19 00:47:34+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13,10,Canela,Unknown
24,887343217045368832,,,2017-07-18 16:08:03+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/887343217045368832/video/1,13,10,,Unknown
25,887101392804085760,,,2017-07-18 00:07:08+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,,Unknown
26,886983233522544640,,,2017-07-17 16:17:36+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",13,10,Maya,Unknown
27,886736880519319552,,,2017-07-16 23:58:41+00:00,Twitter for iPhone,,,,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13,10,Mingus,Unknown
28,886680336477933568,,,2017-07-16 20:14:00+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/886680336477933568/photo/1,13,10,Derek,Unknown
29,886366144734445568,,,2017-07-15 23:25:31+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12,10,Roscoe,Pupper
30,886267009285017600,8.862663570751283e+17,2281181600.0,2017-07-15 16:51:35+00:00,Twitter for iPhone,,,,,12,10,,Unknown
31,886258384151887873,,,2017-07-15 16:17:19+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/886258384151887873/photo/1,13,10,Waffles,Unknown
32,886054160059072513,,,2017-07-15 02:45:48+00:00,Twitter for iPhone,8.860537344211026e+17,19607400.0,2017-07-15 02:44:07 +0000,"https://twitter.com/dog_rates/status/886053434075471873,https://twitter.com/dog_rates/status/886053434075471873",12,10,,Unknown
33,885984800019947520,,,2017-07-14 22:10:11+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12,10,Jimbo,Unknown
34,885528943205470208,,,2017-07-13 15:58:47+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/885528943205470208/photo/1,13,10,Maisey,Unknown
35,885518971528720385,,,2017-07-13 15:19:09+00:00,Twitter for iPhone,,,,https://twitter.com/4bonds2carbon/status/885517367337512960,14,10,,Unknown
36,885311592912609280,,,2017-07-13 01:35:06+00:00,Twitter for iPhone,8.305833205850685e+17,4196983835.0,2017-02-12 01:04:29 +0000,"https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1",13,10,Lilly,Unknown
37,885167619883638784,,,2017-07-12 16:03:00+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",13,10,,Unknown
38,884925521741709313,,,2017-07-12 00:01:00+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/884925521741709313/photo/1,12,10,Earl,Unknown
39,884876753390489601,,,2017-07-11 20:47:12+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",13,10,Lola,Unknown
40,884562892145688576,,,2017-07-11 00:00:02+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/884562892145688576/photo/1,13,10,Kevin,Unknown
41,884441805382717440,,,2017-07-10 15:58:53+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/884441805382717440/photo/1,14,10,,Unknown
42,884247878851493888,,,2017-07-10 03:08:17+00:00,Twitter for iPhone,,,,https://twitter.com/kaijohnson_19/status/883965650754039809,13,10,,Unknown
43,884162670584377345,,,2017-07-09 21:29:42+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/884162670584377345/photo/1,12,10,Yogi,Doggo
44,883838122936631299,,,2017-07-09 00:00:04+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/883838122936631299/photo/1,12,10,Noah,Unknown
45,883482846933004288,,,2017-07-08 00:28:19+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",5,10,Bella,Unknown
46,883360690899218434,,,2017-07-07 16:22:55+00:00,Twitter for iPhone,,,,https://twitter.com/dog_rates/status/883360690899218434/photo/1,13,10,Grizzwald,Floofer
47,883117836046086144,,,2017-07-07 00:17:54+00:00,Twitter for iPhone,,,,"https://twitter.com/dog_rates/status/883117836046086144/photo/1,https://twitter.com/dog_rates/status/883117836046086144/photo/1",13,10,,Unknown
